name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,6741.834,6736.7266,2.6772,6732.0103,6736.9683,6740.4517,1.0497,*
1,0.1558,0.1556,7e-04,0.1545,0.1557,0.1567,0.9993,*
year,-0.0016,-0.0015,5e-04,-0.0024,-0.0015,-6e-04,0.9999,*
temp,-0.0022,-0.0029,6e-04,-0.0039,-0.0028,-0.0019,1.0003,*
temp^2,-2e-04,-3e-04,3e-04,-8e-04,-3e-04,1e-04,1.0095,ns
type,-0.0349,-0.034,0.002,-0.0374,-0.0341,-0.0306,1.0439,*
type*temp,0.0081,0.0086,0.0014,0.0062,0.0086,0.011,1.0505,*
dbo,-0.0057,-0.0058,7e-04,-0.0068,-0.0058,-0.0046,1.0031,*
dbo^2,0.0011,0.001,3e-04,4e-04,0.001,0.0015,1.0031,*
type*dbo,-0.0094,-0.0098,0.0018,-0.0131,-0.0096,-0.007,1.0073,*
temp*dbo,1e-04,-2e-04,6e-04,-0.0011,-2e-04,9e-04,1.0066,ns
alt,0.0093,0.009,6e-04,0.008,0.009,0.0099,1.0036,*
