name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-4193.0547,-4244.6312,19.543,-4277.6216,-4244.8008,-4212.1938,1.5336,*
1,0.0482,0.0523,0.0191,0.0201,0.0524,0.0833,1.009,*
year,-0.0151,-0.0121,0.017,-0.0399,-0.0119,0.0146,1.0057,ns
temp,0.0198,-0.0044,0.0195,-0.0374,-0.0037,0.0264,1.0026,ns
temp^2,0.031,0.0159,0.008,0.0025,0.0155,0.0281,1.0028,*
type,-0.6827,-0.6534,0.0688,-0.762,-0.6556,-0.5371,1.0716,*
type*temp,-0.0604,-0.0342,0.0497,-0.1132,-0.0345,0.0471,1.0236,ns
dbo,-0.1373,-0.1275,0.0209,-0.1621,-0.1276,-0.0921,1.0069,*
dbo^2,0.0088,0.0069,0.0107,-0.0113,0.007,0.0232,1.0546,ns
type*dbo,-0.2396,-0.1618,0.0617,-0.2611,-0.1616,-0.0616,1.2147,*
temp*dbo,-0.0073,0.001,0.0176,-0.0275,0.001,0.0297,1.0046,ns
alt,0.0953,0.0867,0.0189,0.0552,0.086,0.1177,1.0002,*
rich,-0.4616,-0.441,0.0182,-0.4695,-0.4407,-0.4109,0.9995,*
