name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-5952.1489,-7123.1525,1106.6157,-9147.7334,-6646.4473,-5988.1426,2.0409,*
1,-0.0023,-0.0652,0.0355,-0.1175,-0.0614,-0.0088,1.027,*
type,0.5686,0.3076,0.2158,-0.0069,0.3836,0.5812,2.4752,ns
temp,-0.0304,0.0476,0.0449,-0.0278,0.0548,0.0991,2.31,ns
temp^2,0.0472,-0.0565,0.0855,-0.1878,-0.0322,0.0386,1.0239,ns
type*temp,0.0945,0.1017,0.009,0.092,0.0973,0.1155,1.9922,*
dbo,-0.1112,-0.0718,0.0948,-0.1635,-0.1288,0.0767,1.8921,ns
type*dbo,-0.2737,-0.2258,0.1312,-0.3541,-0.297,-0.0124,1.8227,*
temp*dbo,-0.2551,-0.1294,0.1037,-0.2753,-0.1459,0.0149,2.5435,ns
rich,0.2208,0.0876,0.0909,-0.0394,0.103,0.2182,2.5011,ns
year,-0.1255,-0.092,0.1407,-0.2414,-0.1514,0.1328,1.7099,ns
alt,0.0588,0.0916,0.0854,-0.0389,0.0877,0.2045,1.3469,ns
