name,MaP,mean,sd,X5.,X50.,X95.,r_hat,signif
P,-3508.8662,-3520.9642,5.0882,-3529.4106,-3520.572,-3512.7197,1.2905,*
1,0.0066,0.0121,0.037,-0.0467,0.0117,0.0719,1.01,ns
type,-0.6286,-0.5995,0.0856,-0.7383,-0.6013,-0.4514,1.0282,*
temp,0.0147,0.0061,0.0203,-0.0281,0.0064,0.0387,1.0135,ns
temp^2,0.0117,0.0072,0.0071,-0.0042,0.0071,0.0192,0.9991,ns
temp*type,0.029,0.0237,0.0507,-0.0592,0.0243,0.1049,1.0095,ns
dbo,-0.0188,-0.0173,0.0221,-0.0562,-0.0167,0.0171,1.0531,ns
dbo^2,-0.0052,-0.0055,0.0086,-0.0194,-0.0051,0.0088,1.0032,ns
type*dbo,-0.0457,-0.0885,0.0396,-0.1534,-0.0862,-0.0256,1.0289,*
temp*dbo,0.0026,-0.0146,0.0129,-0.0362,-0.0152,0.0068,1.0075,ns
temp*dbo*type,-0.0233,0.0331,0.0338,-0.024,0.0335,0.0887,1.0086,ns
rich,-0.3918,-0.3796,0.0263,-0.4211,-0.3818,-0.3363,1.0485,*
alt,0.1647,0.1922,0.0369,0.1334,0.1914,0.2553,1.0527,*
year,-0.0091,-0.0079,0.0128,-0.029,-0.0077,0.0128,1.0106,ns
